course,minor,type,other
PHY230L,Physics,option,threeCredit
PHY231,Physics,option,threeCredit
PHY231L,Physics,option,threeCredit
PHY232,Physics,option,threeCredit
PHY232L,Physics,option,threeCredit
PHY240,Physics,option,threeCredit
PHY240L,Physics,option,threeCredit
PHY257,Physics,option,threeCredit
PHY294,Physics,option,threeCredit
PHY299T,Physics,option,threeCredit
PHY301,Physics,option,threeCredit
PHY313,Physics,option,threeCredit
PHY330,Physics,option,threeCredit
PHY399T,Physics,option,threeCredit
PHY400,Physics,option,threeCredit
PHY450,Physics,option,threeCredit
PHY494,Physics,option,threeCredit
PHY496,Physics,option,threeCredit
PHY497,Physics,option,threeCredit
PHY499T,Physics,option,threeCredit
PHY301,Physics,option,sixCredit
PHY313,Physics,option,sixCredit
PHY330,Physics,option,sixCredit
PHY399T,Physics,option,sixCredit
PHY400,Physics,option,sixCredit
PHY450,Physics,option,sixCredit
PHY494,Physics,option,sixCredit
PHY496,Physics,option,sixCredit
PHY497,Physics,option,sixCredit
PHY499T,Physics,option,sixCredit
CSC150,Applied Math,required,req
MAT150,Applied Math,option,Calculus
MAT175,Applied Math,option,Calculus
MAT275,Applied Math,option,Calculus
CSC270,Applied Math,option,Data
MAT212,Applied Math,option,Data
BIO159,Applied Math,option,LAB
BIO201,Applied Math,option,LAB
BIO202,Applied Math,option,LAB
BIO210,Applied Math,option,LAB
CHE141,Applied Math,option,LAB
CHE142,Applied Math,option,LAB
ENV160,Applied Math,option,LAB
PHY231,Applied Math,option,LAB
PHY232,Applied Math,option,LAB
PHY271,Applied Math,option,LAB
PHY272,Applied Math,option,LAB
GEO101,Applied Math,option,LAB
GEO101,Geosciences,required,req
GEO150,Geosciences,option,ENV160
ENV160,Geosciences,option,GEO150
MAT125,Geosciences,option,Math
MAT150,Geosciences,option,Math
MAT212,Geosciences,option,Math
GEO310,Geosciences,option,takeTwo
GEO320,Geosciences,option,takeTwo
ENV350,Geosciences,option,takeTwo
PHY231,Geosciences,option,takeTwo
PHY271,Geosciences,option,takeTwo
MAT150,Physical Science,required,req
CHE141,Physical Science,option,takeTwo
CHE142,Physical Science,option,takeTwo
PHY231,Physical Science,option,takeTwo
PHY231L,Physical Science,option,takeTwo
PHY232,Physical Science,option,takeTwo
PHY232L,Physical Science,option,takeTwo
PHY271,Physical Science,option,takeTwo
PHY271L,Physical Science,option,takeTwo
PHY272,Physical Science,option,takeTwo
PHY272L,Physical Science,option,takeTwo
CHE124,Physical Science,option,threeCredit
CHE124L,Physical Science,option,threeCredit
CHE141,Physical Science,option,threeCredit
CHE142,Physical Science,option,threeCredit
CHE199T,Physical Science,option,threeCredit
CHE252,Physical Science,option,threeCredit
CHE252L,Physical Science,option,threeCredit
CHE294,Physical Science,option,threeCredit
CHE299T,Physical Science,option,threeCredit
CHE301,Physical Science,option,threeCredit
CHE301L,Physical Science,option,threeCredit
CHE302,Physical Science,option,threeCredit
CHE302L,Physical Science,option,threeCredit
CHE352,Physical Science,option,threeCredit
CHE352L,Physical Science,option,threeCredit
CHE394,Physical Science,option,threeCredit
CHE395,Physical Science,option,threeCredit
CHE397,Physical Science,option,threeCredit
CHE399T,Physical Science,option,threeCredit
CHE399T.1,Physical Science,option,threeCredit
CHE399T.2,Physical Science,option,threeCredit
CHE401,Physical Science,option,threeCredit
CHE401L,Physical Science,option,threeCredit
CHE412,Physical Science,option,threeCredit
CHE412L,Physical Science,option,threeCredit
CHE420,Physical Science,option,threeCredit
CHE420L,Physical Science,option,threeCredit
CHE464,Physical Science,option,threeCredit
CHE464L,Physical Science,option,threeCredit
CHE465,Physical Science,option,threeCredit
CHE465L,Physical Science,option,threeCredit
CHE490,Physical Science,option,threeCredit
CHE494,Physical Science,option,threeCredit
CHE495,Physical Science,option,threeCredit
CHE497,Physical Science,option,threeCredit
CHE499T,Physical Science,option,threeCredit
CHE499T.1,Physical Science,option,threeCredit
GEO101,Physical Science,option,threeCredit
GEO101L,Physical Science,option,threeCredit
GEO150,Physical Science,option,threeCredit
GEO310,Physical Science,option,threeCredit
GEO320,Physical Science,option,threeCredit
GEO410,Physical Science,option,threeCredit
GEO410L,Physical Science,option,threeCredit
GEO494,Physical Science,option,threeCredit
PHY100,Physical Science,option,threeCredit
PHY105,Physical Science,option,threeCredit
PHY170,Physical Science,option,threeCredit
PHY199,Physical Science,option,threeCredit
PHY199T,Physical Science,option,threeCredit
PHY210,Physical Science,option,threeCredit
PHY230,Physical Science,option,threeCredit
PHY230L,Physical Science,option,threeCredit
PHY231,Physical Science,option,threeCredit
PHY231L,Physical Science,option,threeCredit
PHY232,Physical Science,option,threeCredit
PHY232L,Physical Science,option,threeCredit
PHY240,Physical Science,option,threeCredit
PHY240L,Physical Science,option,threeCredit
PHY257,Physical Science,option,threeCredit
PHY271,Physical Science,option,threeCredit
PHY271L,Physical Science,option,threeCredit
PHY272,Physical Science,option,threeCredit
PHY272L,Physical Science,option,threeCredit
PHY294,Physical Science,option,threeCredit
PHY299T,Physical Science,option,threeCredit
PHY301,Physical Science,option,threeCredit
PHY313,Physical Science,option,threeCredit
PHY330,Physical Science,option,threeCredit
PHY399T,Physical Science,option,threeCredit
PHY400,Physical Science,option,threeCredit
PHY450,Physical Science,option,threeCredit
PHY494,Physical Science,option,threeCredit
PHY496,Physical Science,option,threeCredit
PHY497,Physical Science,option,threeCredit
PHY499T,Physical Science,option,threeCredit

