"sub","number","name","url","desc","min_credits","max_credits","id"
"CSC","481","Software Engineering & Senior Design II","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-481","Continuation of CSC-480. Second course in a three-term sequence in which students learn and apply sound principles and methods of software engineering. Topics may include models of software development, requirement solicitation and definition, system design and organization, documentation, verification, and validation. Prerequisites: CSC-480. The prerequisite course must be passed with a minimum grade of C",4,4,"CSC481"
"CSC","482","Software Engineering & Senior Design III","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-482","Continuation of CSC-481. The final course in a three-term sequence in which students learn and apply sound principles and methods of software engineering. The course culminates in the design and implementation of software systems for industry, non-profit, or academic sponsors. Prerequisite: CSC-481 must be passed with a minimum grade of C.",4,4,"CSC482"
"CSC","490","Topics in Computer Science","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-490","Topics selected by the instructor and informed by student interest, such as graphics, cryptography, artificial intelligence, web programming, human-computer interfaces, etc.  Prerequisite: CSC-152 with minimum grade of C or Instructor Permission",4,4,"CSC490"
"CSC","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-494","May be repeated up to a maximum of 4 credits and is subject to arrangement with the Mathematical and Physical Sciences Department. See independent study guidelines. Prerequisites: Junior or Senior standing and permission",4,4,"CSC494"
"CSC","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/CSC-Computer-Science/400/CSC-497","Individually arranged programs of work and study with the department, academic institutions, private industries, or government agencies. See internship guidelines. Prerequisites: Junior or Senior standing and permission.",4,4,"CSC497"
"MAT","101","Survey of Algebra and Probability","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-101","Students in this course develop fundamental arithmetic and algebra skills in preparation for MAT-125. Topics will include Cartesian coordinates and graphs, linear models, and algebraic expressions. This course also includes topics in probability, including calculating experimental and theoretical probabilities. Prerequisite: Placement according to the Math Placement Guide",4,4,"MAT101"
"MAT","102","Functions","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-102","In preparation for MAT-150, students in this course acquire foundational understanding of the formulation and interpretation of functions, which model relationships among quantities. Examples from the course include linear, quadratic, radical, exponential, and logarithmic models. Students master function notation, basic transformations, variables and parameters, and domain and range, and apply these ideas to analyze functions graphically, numerically, and symbolically, and to solve equations, including systems of two linear equations. Prerequisites: MAT-101 or placement according to the Math Placement Guide.",4,4,"MAT102"
"MAT","111","Contemporary Mathematics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-111","A course designed to explore some of the great ideas in mathematics and to discover the power of mathematical thinking in everyday life. Topics include counting techniques, infinity, geometry, shape and space, chaos and fractals, and decision science. Prerequisites: MAT-101 or placement according to the Math Placement Guide.",4,4,"MAT111"
"MAT","125","Data Analysis and Statistics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-125","An applications-oriented approach to data analysis and statistics. Topics may include descriptive statistics, probability and probability distributions, confidence intervals, hypothesis testing, and regression. The course will also cover linear inequalities and interpreting functions with emphasis on their graphs. Applications in business, economics, natural sciences and the social sciences. Students who have received credit for AP Statistics may not take this course for credit. Prerequisite: MAT-101 or placement according to the Math Placement Guide",4,4,"MAT125"
"MAT","130","Trigonometry","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-130","Students in this course acquire knowledge of trigonometry in preparation for MAT-175. The course includes topics in right triangle trigonometry, such as measurement of angles, evaluation of trigonometric functions, sketching and analysis of graphs of trigonometric functions, inverse trigonometric functions, solution of trigonometric equations, the Pythagorean theorem, and other trigonometric identities. Prerequisites: MAT-102 or MAT-150 or placement according to the Math Placement Guide.",4,4,"MAT130"
"MAT","150","Applied Calculus: a Modeling Approach","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-150","An introductory course in differential and integral calculus, useful for work in the natural sciences and the social sciences, with a strong emphasis on developing scientific computing and mathematical modeling skills. Topics may include functions of one or more variables, differentiation, integration, and applications, including an early exposure to differential equations and initial value problems, some introductory vector analysis and linear algebra, and techniques of estimation. This course is designed to be suitable both for students with no prior experience of calculus and for students with some AP calculus experience. Prerequisite:  MAT-102 or meet the criteria of the Math placement guide",4,4,"MAT150"
"MAT","175","Single Variable Calculus","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-175","This calculus course studies the theory of differentiation and integration of functions of one variable. Main topics include functions, limits, differentiation, and integration. Topics may include continuity, Riemann sums, the fundamental theorem of calculus, techniques of integration, improper integrals, L'Hopital's rule, geometric series, power series, and Taylor series. This is a more mathematically rigorous course than MAT-150. Students planning further work in mathematics or physics and who have successfully completed a previous calculus course are encouraged to take MAT-175. Prerequisites: MAT-150 with a B- or better, or MAT-150 and MAT-130, each with a grade of C or better, or placement according to the Math placement guide.",4,4,"MAT175"
"MAT","199","Math & Physics Colloquium","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-199","A series of talks on topics related to mathematics and the physical sciences, intended to expose students to opportunities available in these fields. Topics may include current research projects, summer internship reports, and career development. May be repeated for credit.",4,4,"MAT199"
"MAT","199T","Special Topics in Mathematics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/100/MAT-199T","May be offered any term.  Prereq.:  permission. Study of selected areas of mathematics not available in the regular curriculum.",4,4,"MAT199T"
"MAT","212","Multiple Regression Analysis","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-212","Introduction to statistical methods for a mathematics or science major. Topics include include analysis of variance, multiple regression and analysis, chi square, and time series. A statistical software package will be used. Students who have taken calculus should take this course rather than MAT-125. Prerequisites: MAT-125 or MAT-175 or MAT-275 or equivalent course with a minimum grade of C.",4,4,"MAT212"
"MAT","221","Mathematics for Elementary Teachers I","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-221","Topics include number systems, problem solving, sets, logic and properties of whole numbers and rational numbers. The emphasis is on mathematics taught in the elementary school classroom, using a variety of teaching techniques, methods, and hands-on materials including manipulatives and technology. Prerequisites: MAT-102 or placment according to the Math Placement Guide.",4,4,"MAT221"
"MAT","222","Mathematics for Elementary Teachers II","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-222","Topics include properties of real numbers, descriptive statistics and geometry. The emphasis is on mathematics taught in the elementary school classroom, using a variety of teaching techniques, methods, and hands-on materials including manipulatives and technology. Prerequisites: MAT-102 or placement according to the Math Placement Guide.",4,4,"MAT222"
"MAT","252","Discrete Mathematics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-252","Systems of linear equations, matrix operations, combinatorics, graph theory.  Offered Spring term of odd numbered years. Prerequisites: MAT-280 or MAT-281 or MAT-282 or MAT-283 with a minimum grade of C.",4,4,"MAT252"
"MAT","275","Multivariable Calculus","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-275","This course is an extension of calculus to higher-dimensional spaces. Main topics include differentiation of functions of two and three variables, an introduction to vector analysis and parametrization, and a study of definite integration in both rectangular and curved coordinate systems. Topics may include a review of functions of several variables, vector geometry of 3-dimensional space, partial derivatives, gradient vectors, optimization techniques, multiple integration in the three classical curvilinear coordinate systems, parametric equations, vector fields, line integrals and Green's Theorem, and the other classical integral theorems of differential geometry. Prerequisites: MAT-175 with minimum grade of C, or meet the criteria of the Math placement guide, or Instructor permission.",4,4,"MAT275"
"MAT","280","Introduction to Proof: Number Theory","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-280","Methods of mathematical proof will be introduced using concepts from number theory. Topics may include: axioms for the integers, Euclidean algorithm, Diophantine equations, Fermat's Little Theorem, unique factorization, and primality testing. Prerequisites: MAT-175 or MAT-275 with a minimum grade of C and Sophomore standing or Instructor permission.",4,4,"MAT280"
"MAT","281","Introduction to Proof: Combinatorics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-281","Methods of mathematical proof will be introduced using concepts from combinatorics. Topics may include: permutations and combinations, finite mathematical structures, inclusion-exclusion principle and elements of the theory of graphs. Prerequisites: MAT-175 or MAT-275 with a minimum grade of C and Sophomore standing or Instructor permission.",4,4,"MAT281"
"MAT","282","Introduction to Proof: Sets & Functions","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-282","Methods of mathematical proof will be introduced using concepts from sets and functions. Topics may include: the basics of set theory including equivalence relations, cardinality (including the notions of countability and uncountability), and topics covering surjective, injective, bijective, and inverse functions. Prerequisites: MAT-175 or MAT-275 with a minimum grade of C and Sophomore standing or Instructor permission.",4,4,"MAT282"
"MAT","283","Introduction to Proof: Logic","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-283","Methods of mathematical proof will be introduced using concepts from symbolic logic. Topics may include: an introduction to logical implication, quantifiers, contrapositive, and logical equivalence.  Prerequisites: MAT-175 or MAT-275 with a minimum grade of C and Sophomore standing or Instructor permission.",4,4,"MAT283"
"MAT","294","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/200/MAT-294","Research studies for qualified mathematics majors. See independent study guidelines See independent study guidelines. Prerequisites: Instructor permission",4,4,"MAT294"
"MAT","311","Probability and Mathematical Statistics I","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-311","A study of finite sample spaces, conditional probability and independence, functions of random variables, random variables of one or more dimensions, discrete random variables, continuous random variables, moment generating functions, sampling distribution, estimation and testing of hypotheses. Prerequisites: MAT-280, MAT-281, MAT-282, or MAT-283 with a minimum grade of C.",4,4,"MAT311"
"MAT","312","Probability and Mathematical Statistics II","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-312","A continuation of MAT-311. A study of finite sample spaces, conditional probability and independence, functions of random variables, random variables of one or more dimensions, discrete random variables, continuous random variables, moment generating functions, sampling distribution, estimation and testing of hypotheses. Prerequisites MAT-311 with a minimum grade of C",4,4,"MAT312"
"MAT","352","Differential Equations","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-352","A study of the solution and applications of ordinary differential equations including systems of equations using matrix algebra. Prerequisite: MAT-275 or equivalent course with a minimum grade of C",4,4,"MAT352"
"MAT","361","Linear Algebra","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-361","A study of general vector spaces, linear transformations, eigenvalues and eigenvectors. Prerequisites: MAT-280, MAT-281, MAT-282, or MAT-283 with a minimum grade of C.",4,4,"MAT361"
"MAT","370","Geometry","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-370","A study of Euclidean geometry and the development of non-Euclidean geometry, one of the most significant occurrences in the history of mathematics.  Prerequisites: MAT-280, MAT-281, MAT-282, or MAT-283 with a minimum grade of C.",4,4,"MAT370"
"MAT","372","History of Mathematics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-372","A historical survey of the ideas, tools, and symbols of mathematics and the people who developed them. For upper-division students who are planning to teach or otherwise pursue mathematics as a profession. Prerequisites: MAT-280 or MAT-281 or MAT-282 or MAT-283 with a minimum grade of C.",4,4,"MAT372"
"MAT","399T","Special Topics in Mathematics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-399T","May be offered any term.  Study of selected areas of mathematics not available in the regular curriculum.",4,4,"MAT399T"
"MAT","399T.01","Digital Image Analysis","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/300/MAT-399T-01","(Same as PHY 399T.01) Spring 2003.  Prereq.: MAT 150 or 151 and MAT 137 or permission.  MAT 233.1 recommended.  A study of computer graphics and digital image processing and analysis.  Topics covered include color concepts, display devices, image compression algorithms  and storage formats, two- and three-dimensional graphics concepts, digital imaging, and simple pattern matching algorithms.  The collection, processing, and analysis of digital images will be demostrated mainly through astronomical applications.  Other imaging techniques such as Magnetic Resonance Imaging, Ultrasound, and Computer Tomography will also be explored.  This course does not fulfill any general graduation requirement.",4,4,"MAT399T.01"
"MAT","431","Complex Analysis","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-431","A study of complex-valued analytic functions. Topics may include Cauchy's theorem, Laurent series, integration, the residue theorem, and conformal mapping. Prerequisites: MAT-280 or MAT-281 or MAT-282 or MAT-283 with a minimum grade of C",4,4,"MAT431"
"MAT","441","Topology","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-441","An introduction to the techniques and theorems of point-set topology and metric spaces. Topics include: cardinality, separation axioms, compactness, connectedness, continuity and finite products. Prerequisites: MAT-280 or MAT-281 or MAT-282 or MAT-283 with a minimum grade of C must be completed prior to registering for this course.",4,4,"MAT441"
"MAT","451","Real Analysis","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-451","A study of the basic concepts of real analysis. Topics include limits, sequences, series, continuity, differentiation and integration. Prerequisites: MAT-280 or MAT-281 or MAT-282 or MAT-283 with a minimum grade of C must be completed prior to registering for this course.",4,4,"MAT451"
"MAT","461","Abstract Algebra","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-461","An introduction to the study of abstract algebra via the theory of groups and rings. Prerequisites: MAT-280 or MAT-281 or MAT-282 or MAT-283 with a minimum grade of C must be completed prior to registering for this course.",4,4,"MAT461"
"MAT","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-494","Research studies for qualified mathematics majors. See independent study guidelines.  Prerequisite: Instructor permission required",4,4,"MAT494"
"MAT","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-497","Individually arranged programs of work and study with the department, academic institutions, private industries, or government agencies. See internship guidelines.  Prerequisite: Instructor permission required",4,4,"MAT497"
"MAT","498","Upper Division Seminar","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-498","Study of topics in mathematics not covered in previous mathematics courses. May be repeated for credit. Prerequisite: Junior or Senior standing with major in mathematics",4,4,"MAT498"
"MAT","499T","Special Topics in Mathematics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/MAT-Mathematics/400/MAT-499T","May be offered any term.  Prereq.:  permission. Study of selected areas of mathematics not available in the regular curriculum.",4,4,"MAT499T"
"PHY","100","The Universe","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/100/PHY-100","This course focuses on the development of the science of astronomy through the use of observations, theories, and models. Topics may include astronomical instruments, the night sky, the solar system, stars and galaxies, or cosmology.",4,4,"PHY100"
"PHY","105","Introduction to CAD","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/100/PHY-105","A beginning level survey of the theory and practice of computer drafting and engineering graphics. No previous CAD experience is required but students should have some basic understanding of science and mathematics as well as some experience as a computer user. Pass/fail only.",4,4,"PHY105"
"PHY","170","Engineering Analysis","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/100/PHY-170","Students interested in engineering develop fundamental problem solving, modeling and computer techniques through an applications-oriented approach. This course requires students to develop skills using a mathematics software system. Topics include problem analysis, graphing techniques, statistical and error analysis, systems of equations using matrix methods and approximations, optimization methods, and linear programming. Prerequisite: MAT-150 or equivalent course",4,4,"PHY170"
"PHY","199","Math & Physics Colloquium","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/100/PHY-199","A series of talks on topics related to mathematics and the physical sciences, intended to expose students to opportunities available in these fields. Topics may include current research projects, summer internship reports, and career development. May be repeated for credit.",4,4,"PHY199"
"PHY","199T","Special Topics in Physics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/100/PHY-199T","May be offered any term.  Prereq.:  permission. Study of selected areas of physics not available in the regular curriculum.",4,4,"PHY199T"
"PHY","210","Statics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-210","Structural analysis of beams and trusses subjected to both concentrated and distributed loads. This course is normally taken by pre-engineering students.  Prerequisite: PHY-271",4,4,"PHY210"
"PHY","230","Digital Electronics","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-230","An introduction to digital electronics including number systems, Boolean algebra, logic gates, Karnaugh maps, combinatorial circuits, flip-flops, registers, counters, sequential state-machines and introduction to Hardware Description Languages (HDL). No previous electronics experience is required.",4,4,"PHY230"
"PHY","230L","Digital Electronics Lab","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-230L","Design, construction, and testing of small digital logic circuits using TTL and CMOS gates, flip-flops, registers, counters, and LEDs. Corequisites: PHY-230",4,4,"PHY230L"
"PHY","231","General Physics I","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-231","A non-calculus survey of physics topics including motion, forces, work, energy, and thermal physics. Facility with algebra and trigonometry will be assumed. Students with secondary school experience in physics and/or mathematics through calculus are strongly urged to take the PHY-271-272 sequence. Three lectures weekly. In special circumstances, this course may be taken for 3 credits without lab. Consult instructor. Credit for PHY-231 will not be granted to students who have completed PHY-271. Prerequisites: MAT-125 or higher level math class (with minimum grade of C), or Instructor permission. Corequisites: PHY-231L",4,4,"PHY231"
"PHY","231L","General Physics I Lab","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-231L","An integral part of PHY-231 with which the lab should normally be taken concurrently. One laboratory weekly. Credit for PHY-231L will not be granted to students who have completed PHY-271L. Corequisites: PHY-231",4,4,"PHY231L"
"PHY","232","General Physics II","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-232","A non-calculus survey of physics topics including waves, light, optics, electrostatics, circuits, and modern physics. Facility with algebra and trigonometry will be assumed. Students with secondary school experience in physics and/or mathematics through calculus are strongly urged to take the PHY-271-272 sequence. Three lectures weekly. In special circumstances, this course may be taken for 3 credits without lab. In special circumstances, a student with previous physics experience may take this course without PHY-231. Consult instructor. Credit for PHY-232 will not be granted to students who have completed PHY-272. Prerequisite: PHY-231 Corequisite: PHY-232L",4,4,"PHY232"
"PHY","232L","General Physics II Lab","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-232L","An integral part of PHY-232 with which the lab should normally be taken concurrently. One laboratory weekly. Credit for PHY-232L will not be granted to students who have completed PHY-272L. Corequisite: PHY-232",4,4,"PHY232L"
"PHY","240","Electrical and Electronic Circuits","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-240","An introduction to electronics including fundamental laws, basic network analysis, and circuit theorems. Topics also include capacitors, inductors, operational-amplifier circuits, first- and second-order circuits, and sinusoidal steady-state analysis of AC circuits. Circuit simulation will be used throughout the course. Prerequisite: MAT-175 Corequisite: PHY-240L",4,4,"PHY240"
"PHY","240L","Electircal and Electronic Circuits Laboratory","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-240L","Laboratory section for PHY-240. Corequisites: PHY-240",4,4,"PHY240L"
"PHY","257","Maya Astronomy, Mathematics, and Culture","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-257","A focused study on the role astronomy and mathematics had on the culture, architecture, and art of the ancient Maya. Approximately two weeks of Winter term will be spent on the Yucatan peninsula in Mexico observing and measuring ancient ruins, leading a community service project in a local village, and visiting centers dedicated to the study of the Maya. PHY-257 may serve as a replacement for PHY-100 in any major or minor that requires PHY-100. Students interested in completing the independent study requirement for the Math-Physics major in cultural cosmology or archeo-astronomy must complete this course.",4,4,"PHY257"
"PHY","271","Analytical Physics I","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-271","A general survey of physics topics including motion, forces, work, energy, waves, and special relativity. Calculus is used extensively and some familiarity with computers is assumed. This course is intended for math-physics majors and dual-degree engineering students and strongly recommended for any student who plans to do graduate work in any of the sciences or mathematics. Four lectures weekly. Credit for PHY-271 will not be granted to students who have completed PHY-231. ",4,4,"PHY271"
"PHY","271L","Analytical Physics I Lab","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-271L","An integral part of PHY-271 with which it should normally be taken concurrently. One laboratory period weekly. Credit for PHY-271L will not be granted to students who have completed PHY-231L.",4,4,"PHY271L"
"PHY","272","Analytical Physics II","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-272","A general survey of physics topics including electricity, magnetism, optics, modern physics, and thermal physics. Calculus is used extensively and some familiarity with computers is assumed. This course is intended for math-physics majors and dual-degree engineering students and strongly recommended for any student who plans to do graduate work in any of the sciences or mathematics. Calculus is used extensively and some familiarity with computers is assumed. Four lectures weekly. In special circumstances, a student with previous physics experience may take this course without PHY-271. Consult instructor. Credit for PHY-272 will not be granted to students who have completed PHY-232. Prerequisite: PHY-271 and PHY-271L. Corequisite: PHY-272L",4,4,"PHY272"
"PHY","272L","Analytical Physics II Lab","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-272L","An integral part of PHY-272 with which it should normally be taken concurrently. One laboratory period weekly. Credit for PHY-271L will not be granted to students who have completed PHY-231L. Corequisite: PHY-271",4,4,"PHY272L"
"PHY","294","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/current/Undergraduate-Catalog/Courses/PHY-Physics/200/PHY-294","May be repeated up to a maximum of 4 credits and is subject to arrangement with the Mathematical and Physical Science Department. See independent study guidelines. Prerequisites: Instructor permission",4,4,"PHY294"
